,repo
0,AdRoll_cantor
1,AmadeusITGroup_sonar-stash
2,Ardesco_driver-binary-downloader-maven-plugin
3,Atmosphere_nettosphere
4,Beh01der_EasyFlow
5,BottegaIT_ddd-cqrs-sample
6,BottegaIT_ddd-leaven-v2
7,Cetsoft_imcache
8,ChannelApe_shopify-sdk
9,Comcast_jrugged
10,Cue_greplin-bloom-filter
11,DaisyDiff_DaisyDiff
12,DannyHoo_desensitized
13,DerekYRC_mini-spring
14,Devskiller_friendly-id
15,Devskiller_jpa2ddl
16,DiUS_java-faker
17,EsotericSoftware_reflectasm
18,EsotericSoftware_yamlbeans
19,ExpediaGroup_adaptive-alerting
20,FasterXML_jackson-annotations
21,FasterXML_jackson-datatype-jsr310
22,FasterXML_jackson-module-afterburner
23,GoogleCloudPlatform_cloud-opensource-java
24,HiveRunner_HiveRunner
25,JakeWharton_DiskLruCache
26,JakeWharton_RxRelay
27,JakeWharton_RxReplayingShare
28,JakeWharton_RxWindowIfChanged
29,JakeWharton_retrofit1-okhttp3-client
30,JamesZBL_java_design_patterns
31,Kevded_example-reactive-spring-kafka-consumer-and-producer
32,KnisterPeter_jreact
33,LatencyUtils_LatencyUtils
34,LearningByExample_reactive-ms-example
35,Lovelcp_spring-boot-mybatis-with-redis
36,Merck_Halyard
37,MicrosoftDocs_pipelines-java
38,MoriTanosuke_glacieruploader
39,Netflix_Surus
40,Netflix_curator
41,NetherlandsForensicInstitute_kafka-spout
42,OPCFoundation_UA-Java-Legacy
43,OpenHFT_Zero-Allocation-Hashing
44,Ordina-Group_microservices-dashboard
45,OrienteerBAP_Orienteer
46,Pablissimo_SonarTsPlugin
47,RNCryptor_JNCryptor
48,RichardWarburton_slab
49,SAP-archive_cloud-espm-v2
50,Simmetrics_simmetrics
51,SonarSource_sonarlint-cli
52,SquareSquash_java
53,Stratio_cassandra-lucene-index
54,Syncleus_aparapi
55,TU-Berlin-DIMA_scotty-window-processor
56,Tanaguru_Contrast-Finder
57,TechPrimers_spring-boot-graphql-query-example
58,ThreeTen_threetenbp
59,ToastShaman_dropwizard-auth-jwt
60,VisualDataWeb_OWL2VOWL
61,Wolfgang-Schuetzelhofer_jcypher
62,Yubico_java-u2flib-server
63,abahgat_suffixtree
64,acogoluegnes_Spring-Batch-Workshop
65,addthis_stream-lib
66,adnovum_sonar-build-breaker
67,adyliu_zkclient
68,alexa_alexa-skills-kit-sdk-for-java
69,alexnederlof_Jasper-report-maven-plugin
70,alibaba_QLExpress
71,alibaba_compileflow
72,alibaba_fastjson
73,alibaba_fastjson2
74,alibaba_spring-context-support
75,alibaba_tamper
76,alibaba_velocity-spring-boot-project
77,alimate_errors-spring-boot-starter
78,amaembo_huntbugs
79,amazon-archives_aws-apigateway-importer
80,americanexpress_nodes
81,amigoscode_spring-boot-essentials
82,amigoscode_spring-boot-security-course
83,amihaiemil_docker-java-api
84,andygibson_datafactory
85,anomaly2104_lld-cab-booking-ola-uber-grab-lyft
86,anomaly2104_lld-parking-lot
87,anthonyu_KeptCollections
88,antkorwin_better-strings
89,apache_servicecomb-saga-actuator
90,apache_servicecomb-toolkit
91,apache_tiles
92,arocketman_Spring-oauth2-jpa-example
93,artsok_rerunner-jupiter
94,atomix_copycat
95,aws_aws-dynamodb-encryption-java
96,awslabs_amazon-kinesis-client
97,awslabs_dynamodb-streams-kinesis-adapter
98,bbeck_token-bucket
99,beckchr_staxon
100,bedatadriven_jackson-datatype-jts
101,brettwooldridge_HikariJSON
102,brettwooldridge_SansOrm
103,brettwooldridge_SparseBitSet
104,bucharest-jug_dropwizard-todo
105,callicoder_spring-boot-actuator-demo
106,carrotsearch_smartsprites
107,cassiomolin_jersey-jwt
108,cglib_cglib
109,chanjarster_spring-test-examples
110,cheese10yun_spring-jpa-best-practices
111,chrisgleissner_spring-batch-rest
112,code4craft_hello-design-pattern
113,cowtowncoder_low-gc-membuffers
114,craigwblake_redline
115,crossoverJie_distributed-redis-tool
116,cstettler_ddd-to-the-code-workshop-sample
117,cternes_openkeepass
118,cutting_trevni
119,davidmarquis_redis-scheduler
120,davidmoten_rxjava-extras
121,davidmoten_rxjava-file
122,davidmoten_rxjava2-extras
123,demoiselle_framework
124,dpaukov_combinatoricslib
125,dschulten_hydra-java
126,dsyer_sparklr-boot
127,ebnew_ki4so
128,eclipse-jkube_jkube
129,ef-labs_vertx-jersey
130,esastack_esa-restlight
131,etsy_statsd-jvm-profiler
132,evsinev_ber-tlv
133,exchange-core_exchange-core
134,fabriciocolombo_sonar-delphi
135,feroult_yawp
136,finn-no_xss-html-filter
137,fommil_matrix-toolkits-java
138,gaul_are-we-consistent-yet
139,ghillert_botanic-ng
140,giltene_PauselessHashMap
141,github_maven-plugins
142,gkopff_gson-jodatime-serialisers
143,google_closure-stylesheets
144,greengerong_prerender-java
145,grumlimited_geocalc
146,gshaw-pivotal_spring-hexagonal-example
147,hazelcast_hazelcast-kubernetes
148,henryyan_activiti-dry-cargo
149,hope-for_hope-cloud
150,hotchemi_LruCache
151,hypercube1024_firefly
152,hyperledger-archives_quilt
153,idealista_format-preserving-encryption-java
154,inreachventures_aws-signing-request-interceptor
155,intuit_wasabi
156,jahlborn_jackcess
157,jahlborn_sqlbuilder
158,jamesmorgan_ReloadablePropertiesAnnotation
159,janvanbesien_java-ipv6
160,jclagache_spring-data-mybatis
161,jdbc-observations_datasource-proxy
162,jenkinsci_kubernetes-cd-plugin
163,jhalterman_concurrentunit
164,jirutka_rsql-parser
165,jirutka_spring-rest-exception-handler
166,jkrasnay_sqlbuilder
167,jleetutorial_maven-project
168,jline_jline2
169,johannburkard_StringSearch
170,jorabin_KeePassJava2
171,jparsec_jparsec
172,julienchastang_charts4j
173,junkdog_artemis-odb
174,kayahr_pherialize
175,keepcosmos_beanmother
176,khoubyari_spring-boot-rest-example
177,kohsuke_wordnet-random-name
178,koushikkothagal_spring-boot-security
179,kristofa_mock-http-server
180,lagodiuk_genetic-algorithm
181,larsga_Duke
182,liuyueyi_quick-alarm
183,locationtech_spatial4j
184,logstash_log4j-jsonevent-layout
185,magro_kryo-serializers
186,mangstadt_biweekly
187,mangstadt_ez-vcard
188,mboudreau_Alternator
189,medallia_Word2VecJava
190,meixuesong_aggregate-persistence
191,merapar_graphql-spring-boot-starter
192,messenger4j_messenger4j
193,modelmapper_modelmapper
194,momosecurity_rhizobia_J
195,mongobee_mongobee
196,mp911de_CleanArchitecture
197,mp911de_logstash-gelf
198,mpatric_mp3agic
199,msanez_sonar-branch-community
200,naver_lucy-xss-servlet-filter
201,neoremind_easy-mapper
202,nurkiewicz_typeof
203,nydiarra_springboot-jwt
204,odrotbohm_whoops-architecture
205,opendatalab-de_geojson-jackson
206,organicveggie_metrics-statsd
207,perwendel_spark
208,pfmiles_dropincc.java
209,philwebb_testing-spring-boot-applications
210,pivotalsoftware_ESarch
211,playframework_netty-reactive-streams
212,pveentjer_Multiverse
213,qos-ch_reload4j
214,quicktheories_QuickTheories
215,ragnor_simple-spring-memcached
216,raml-org_raml-java-parser
217,raphaeljolivet_java2typescript
218,raydac_j-j-jvm
219,resthub_springmvc-router
220,rfoltyns_log4j2-elasticsearch
221,rjeschke_txtmark
222,rkapsi_patricia-trie
223,rmuller_infomas-asl
224,rohanpadhye_vasco
225,rometools_rome
226,rrice_java-string-similarity
227,rstoyanchev_spring-websocket-portfolio
228,rtyley_animated-gif-lib-for-java
229,sanity_LastCalc
230,sannidhi_tdd-boot-demo
231,sbtourist_Journal.IO
232,schema-repo_schema-repo
233,scijava_native-lib-loader
234,shazam_shazamcrest
235,sidd-harth_kubernetes-devops-security
236,skate056_spring-security-oauth2-google
237,smacke_jaydio
238,smartrics_RestFixture
239,sockeqwe_fragmentargs
240,sonian_elasticsearch-jetty
241,spotify_apollo
242,spotify_dataenum
243,spotify_netty-zmtp
244,spotify_trickle
245,spring-attic_authserver
246,spring-attic_spring-cloud-aws
247,springframeworkguru_gof
248,spullara_cli-parser
249,square_javapoet
250,square_mimecraft
251,stephenc_high-scale-lib
252,swagger-api_swagger-inflector
253,szerhusenBC_jwt-spring-security-demo
254,tcplugins_tcWebHooks
255,tdziurko_Guava-Lessons
256,tedyoung_kid-bank
257,thulab_tsfile
258,tlrx_elasticsearch-test
259,tools4j_unix4j
260,trystan_AsciiPanel
261,tumblr_jumblr
262,twitter-archive_cloudhopper-smpp
263,twitter-archive_libcrunch
264,twitter_hbc
265,twitter_joauth
266,uwolfer_gerrit-rest-java-client
267,vbauer_caesar
268,vdenotaris_spring-boot-security-saml-sample
269,vidstige_jadb
270,vincentrussell_sql-to-mongo-db-query-converter
271,virgo47_javasimon
272,vlingo_xoom-actors
273,watson-developer-cloud_java-sdk
274,wilkinsona_spring-boot-sample-tomcat-jndi
275,wkennedy_swagger4spring-web
276,wso2_balana
277,xpinjection_hibernate-performance
278,xuender_unidecode
279,yahoo_sherlock
280,youngmonkeys_ezyfox-server
281,yuequan1997_watchdog-spring-boot-starter
282,ywilkof_spark-jobs-rest-client
283,zalando_opentracing-toolbox
284,zapr-oss_druidry
